DAYS_OUT,AGE,GAMES_PLAYED,GAMES_STARTED,MINUTES_PLAYED,HEIGHT,WEIGHT,POSITION,MPG,injuries_last_3,avg_days_out_last_3
90,23.0,33,8.0,630,74,185.0,Guard,19.09090909090909,0,0.0
46,24.0,45,6.0,604,74,185.0,Guard,13.422222222222222,1,90.0
52,23.0,51,0.0,608,72,161.0,Guard,11.92156862745098,0,0.0
147,26.0,34,7.0,811,72,161.0,Guard,23.852941176470587,3,17.333333333333332
6,28.0,46,20.0,959,72,161.0,Guard,20.847826086956523,9,16.333333333333332
7,32.0,65,0.0,894,72,161.0,Guard,13.753846153846155,0,0.0
1,33.0,32,1.0,189,72,161.0,Guard,5.90625,2,3.5
60,19.0,47,8.0,797,80,235.0,Forward,16.95744680851064,0,0.0
5,20.0,78,37.0,1863,80,235.0,Forward,23.884615384615383,3,20.0
17,22.0,58,57.0,1909,80,235.0,Forward,32.91379310344828,4,16.25
5,23.0,78,78.0,2633,80,235.0,Forward,33.756410256410255,4,5.5
15,24.0,62,62.0,2017,80,235.0,Forward,32.53225806451613,6,3.6666666666666665
126,25.0,25,25.0,736,80,235.0,Forward,29.44,10,3.7
14,26.0,75,75.0,2375,80,235.0,Forward,31.666666666666668,16,9.125
30,27.0,68,68.0,2055,80,235.0,Forward,30.220588235294116,17,9.117647058823529
1,23.0,61,1.0,613,84,270.0,Center,10.049180327868852,0,0.0
96,25.0,8,0.0,50,84,270.0,Center,6.25,1,1.0
56,26.0,41,6.0,531,84,270.0,Center,12.951219512195122,7,13.857142857142858
23,27.0,49,40.0,813,84,270.0,Center,16.591836734693878,12,12.666666666666666
30,29.0,4,0.0,20,84,270.0,Center,5.0,7,11.285714285714286
19,21.0,21,0.0,93,78,210.0,Guard,4.428571428571429,0,0.0
42,22.0,5,0.0,17,78,210.0,Guard,3.4,3,6.333333333333333
42,25.0,41,14.0,663,72,185.0,Guard,16.170731707317074,0,0.0
62,22.0,45,20.0,827,77,209.0,Guard,18.377777777777776,0,0.0
14,32.0,68,3.0,1118,77,209.0,Guard,16.441176470588236,0,0.0
103,33.0,14,0.0,121,77,209.0,Guard,8.642857142857142,1,14.0
44,34.0,10,0.0,131,77,209.0,Guard,13.1,3,39.0
2,21.0,46,1.0,669,77,215.0,Guard-Forward,14.543478260869565,0,0.0
