Player,Date Relinquished,Date Activated,Days Out
(James) Mike Scott,2013-03-01,2013-03-06,5 days
(James) Mike Scott,2014-11-12,2014-11-14,2 days
(James) Mike Scott,2014-12-10,2014-12-12,2 days
(James) Mike Scott,2015-03-13,2015-04-04,22 days
(James) Mike Scott,2015-04-15,2015-04-19,4 days
(James) Mike Scott,2015-12-10,2015-12-14,4 days
(James) Mike Scott,2016-10-27,2016-11-30,34 days
(James) Mike Scott,2016-12-13,2016-12-17,4 days
(James) Mike Scott,2018-03-21,2018-03-23,2 days
(James) Mike Scott,2019-04-09,2019-04-10,1 days
(James) Mike Scott,2019-04-27,2019-05-02,5 days
(James) Mike Scott,2020-08-01,2020-08-07,6 days
(James) Mike Scott,2021-01-02,2021-01-09,7 days
(James) Mike Scott,2021-01-20,2021-01-29,9 days
(James) Mike Scott,2021-02-04,2021-02-13,9 days
(James) Mike Scott,2021-04-26,2021-04-28,2 days
(William) Tony Parker,2002-01-15,2002-01-25,10 days
(William) Tony Parker,2006-03-28,2006-03-30,2 days
(William) Tony Parker,2007-01-07,2007-01-09,2 days
(William) Tony Parker,2007-03-03,2007-03-06,3 days
(William) Tony Parker,2007-12-15,2007-12-17,2 days
(William) Tony Parker,2008-11-11,2008-11-28,17 days
(William) Tony Parker,2009-11-09,2009-11-14,5 days
(William) Tony Parker,2009-11-18,2009-11-21,3 days
(William) Tony Parker,2010-01-29,2010-02-04,6 days
(William) Tony Parker,2010-02-11,2010-02-17,6 days
(William) Tony Parker,2010-02-21,2010-02-24,3 days
(William) Tony Parker,2010-02-26,2010-02-28,2 days
(William) Tony Parker,2010-03-10,2010-04-06,27 days
(William) Tony Parker,2011-03-01,2011-03-04,3 days
(William) Tony Parker,2012-03-09,2012-03-12,3 days
(William) Tony Parker,2012-11-10,2012-11-13,3 days
(William) Tony Parker,2013-03-03,2013-03-22,19 days
(William) Tony Parker,2013-04-06,2013-04-12,6 days
(William) Tony Parker,2013-11-29,2013-11-30,1 days
(William) Tony Parker,2013-12-18,2013-12-21,3 days
(William) Tony Parker,2014-02-06,2014-02-08,2 days
(William) Tony Parker,2014-02-18,2014-03-02,12 days
(William) Tony Parker,2014-04-08,2014-04-11,3 days
(William) Tony Parker,2014-12-14,2014-12-22,8 days
(William) Tony Parker,2014-12-28,2015-01-06,9 days
(William) Tony Parker,2015-12-11,2015-12-12,1 days
(William) Tony Parker,2016-01-04,2016-01-08,4 days
(William) Tony Parker,2016-01-21,2016-01-22,1 days
(William) Tony Parker,2016-11-04,2016-11-11,7 days
(William) Tony Parker,2016-12-02,2016-12-05,3 days
(William) Tony Parker,2016-12-06,2016-12-08,2 days
(William) Tony Parker,2017-01-24,2017-01-27,3 days
(William) Tony Parker,2017-03-01,2017-03-03,2 days
(William) Tony Parker,2017-03-15,2017-03-18,3 days
(William) Tony Parker,2017-10-17,2017-11-27,41 days
(William) Tony Parker,2017-12-03,2017-12-06,3 days
(William) Tony Parker,2017-12-09,2017-12-12,3 days
(William) Tony Parker,2017-12-16,2017-12-18,2 days
(William) Tony Parker,2018-02-10,2018-02-12,2 days
(William) Tony Parker,2018-10-27,2018-10-30,3 days
(William) Tony Parker,2018-11-23,2018-11-25,2 days
(William) Tony Parker,2018-12-29,2018-12-31,2 days
(William) Tony Parker,2019-01-12,2019-01-14,2 days
(William) Tony Parker,2019-01-30,2019-02-01,2 days
(William) Tony Parker,2019-02-06,2019-02-22,16 days
(William) Tony Parker,2019-03-09,2019-03-15,6 days
(William) Tony Parker,2019-03-19,2019-03-21,2 days
A.J. Bramlett,1999-11-01,1999-11-30,29 days
