PLAYER_NAME,SEASON,AGE,GAMES_PLAYED,GAMES_STARTED,MINUTES_PLAYED,POINTS_SCORED,HEIGHT,WEIGHT,POSITION,DAYS_OUT
A.J. Guyton,2000-01,23.0,33,8.0,630,198,74,185.0,Guard,90
A.J. Guyton,2001-02,24.0,45,6.0,604,244,74,185.0,Guard,11
A.J. Guyton,2001-02,24.0,45,6.0,604,244,74,185.0,Guard,14
A.J. Guyton,2001-02,24.0,45,6.0,604,244,74,185.0,Guard,11
A.J. Guyton,2001-02,24.0,45,6.0,604,244,74,185.0,Guard,10
Aaron Brooks,2007-08,23.0,51,0.0,608,264,72,161.0,Guard,32
Aaron Brooks,2007-08,23.0,51,0.0,608,264,72,161.0,Guard,10
Aaron Brooks,2007-08,23.0,51,0.0,608,264,72,161.0,Guard,10
Aaron Brooks,2010-11,26.0,34,7.0,811,394,72,161.0,Guard,42
Aaron Brooks,2010-11,26.0,34,7.0,811,394,72,161.0,Guard,5
Aaron Brooks,2010-11,26.0,34,7.0,811,394,72,161.0,Guard,2
Aaron Brooks,2010-11,26.0,25,5.0,473,240,72,161.0,Guard,42
Aaron Brooks,2010-11,26.0,25,5.0,473,240,72,161.0,Guard,5
Aaron Brooks,2010-11,26.0,25,5.0,473,240,72,161.0,Guard,2
Aaron Brooks,2010-11,26.0,59,12.0,1284,634,72,161.0,Guard,42
Aaron Brooks,2010-11,26.0,59,12.0,1284,634,72,161.0,Guard,5
Aaron Brooks,2010-11,26.0,59,12.0,1284,634,72,161.0,Guard,2
Aaron Brooks,2012-13,28.0,46,20.0,959,366,72,161.0,Guard,2
Aaron Brooks,2012-13,28.0,7,0.0,38,10,72,161.0,Guard,2
Aaron Brooks,2012-13,28.0,53,20.0,997,376,72,161.0,Guard,2
Aaron Brooks,2016-17,32.0,65,0.0,894,322,72,161.0,Guard,4
Aaron Brooks,2016-17,32.0,65,0.0,894,322,72,161.0,Guard,3
Aaron Brooks,2017-18,33.0,32,1.0,189,75,72,161.0,Guard,1
Aaron Gordon,2014-15,19.0,47,8.0,797,243,80,235.0,Forward,53
Aaron Gordon,2014-15,19.0,47,8.0,797,243,80,235.0,Forward,2
Aaron Gordon,2014-15,19.0,47,8.0,797,243,80,235.0,Forward,5
Aaron Gordon,2015-16,20.0,78,37.0,1863,719,80,235.0,Forward,5
Aaron Gordon,2017-18,22.0,58,57.0,1909,1022,80,235.0,Forward,4
Aaron Gordon,2017-18,22.0,58,57.0,1909,1022,80,235.0,Forward,2
Aaron Gordon,2017-18,22.0,58,57.0,1909,1022,80,235.0,Forward,11
Aaron Gordon,2018-19,23.0,78,78.0,2633,1246,80,235.0,Forward,1
Aaron Gordon,2018-19,23.0,78,78.0,2633,1246,80,235.0,Forward,2
Aaron Gordon,2018-19,23.0,78,78.0,2633,1246,80,235.0,Forward,2
Aaron Gordon,2019-20,24.0,62,62.0,2017,894,80,235.0,Forward,6
Aaron Gordon,2019-20,24.0,62,62.0,2017,894,80,235.0,Forward,4
Aaron Gordon,2019-20,24.0,62,62.0,2017,894,80,235.0,Forward,3
Aaron Gordon,2019-20,24.0,62,62.0,2017,894,80,235.0,Forward,2
Aaron Gordon,2020-21,25.0,25,25.0,736,364,80,235.0,Forward,38
Aaron Gordon,2020-21,25.0,25,25.0,736,364,80,235.0,Forward,2
Aaron Gordon,2020-21,25.0,25,25.0,736,364,80,235.0,Forward,2
Aaron Gordon,2020-21,25.0,25,25.0,648,254,80,235.0,Forward,38
Aaron Gordon,2020-21,25.0,25,25.0,648,254,80,235.0,Forward,2
Aaron Gordon,2020-21,25.0,25,25.0,648,254,80,235.0,Forward,2
Aaron Gordon,2020-21,25.0,50,50.0,1384,618,80,235.0,Forward,38
Aaron Gordon,2020-21,25.0,50,50.0,1384,618,80,235.0,Forward,2
Aaron Gordon,2020-21,25.0,50,50.0,1384,618,80,235.0,Forward,2
Aaron Gordon,2021-22,26.0,75,75.0,2375,1126,80,235.0,Forward,9
Aaron Gordon,2021-22,26.0,75,75.0,2375,1126,80,235.0,Forward,1
Aaron Gordon,2021-22,26.0,75,75.0,2375,1126,80,235.0,Forward,2
Aaron Gordon,2021-22,26.0,75,75.0,2375,1126,80,235.0,Forward,2
Aaron Gordon,2022-23,27.0,68,68.0,2055,1109,80,235.0,Forward,6
Aaron Gordon,2022-23,27.0,68,68.0,2055,1109,80,235.0,Forward,3
Aaron Gordon,2022-23,27.0,68,68.0,2055,1109,80,235.0,Forward,2
Aaron Gordon,2022-23,27.0,68,68.0,2055,1109,80,235.0,Forward,2
