PLAYER_NAME,SEASON,AGE,GAMES_PLAYED,GAMES_STARTED,MINUTES_PLAYED,POINTS_SCORED,HEIGHT,WEIGHT,POSITION
A.J. Guyton,2000-01,23.0,33,8.0,630,198,74,185.0,Guard
A.J. Guyton,2001-02,24.0,45,6.0,604,244,74,185.0,Guard
A.J. Guyton,2002-03,25.0,2,0.0,9,0,74,185.0,Guard
Aaron Brooks,2007-08,23.0,51,0.0,608,264,72,161.0,Guard
Aaron Brooks,2008-09,24.0,80,35.0,1998,894,72,161.0,Guard
Aaron Brooks,2009-10,25.0,82,82.0,2919,1604,72,161.0,Guard
Aaron Brooks,2010-11,26.0,34,7.0,811,394,72,161.0,Guard
Aaron Brooks,2010-11,26.0,25,5.0,473,240,72,161.0,Guard
Aaron Brooks,2010-11,26.0,59,12.0,1284,634,72,161.0,Guard
Aaron Brooks,2012-13,28.0,46,20.0,959,366,72,161.0,Guard
Aaron Brooks,2012-13,28.0,7,0.0,38,10,72,161.0,Guard
Aaron Brooks,2012-13,28.0,53,20.0,997,376,72,161.0,Guard
Aaron Brooks,2013-14,29.0,43,0.0,716,299,72,161.0,Guard
Aaron Brooks,2013-14,29.0,29,12.0,841,346,72,161.0,Guard
Aaron Brooks,2013-14,29.0,72,12.0,1557,645,72,161.0,Guard
Aaron Brooks,2014-15,30.0,82,21.0,1885,954,72,161.0,Guard
Aaron Brooks,2015-16,31.0,69,0.0,1108,491,72,161.0,Guard
Aaron Brooks,2016-17,32.0,65,0.0,894,322,72,161.0,Guard
Aaron Brooks,2017-18,33.0,32,1.0,189,75,72,161.0,Guard
Aaron Gordon,2014-15,19.0,47,8.0,797,243,80,235.0,Forward
Aaron Gordon,2015-16,20.0,78,37.0,1863,719,80,235.0,Forward
Aaron Gordon,2016-17,21.0,80,72.0,2298,1019,80,235.0,Forward
Aaron Gordon,2017-18,22.0,58,57.0,1909,1022,80,235.0,Forward
Aaron Gordon,2018-19,23.0,78,78.0,2633,1246,80,235.0,Forward
Aaron Gordon,2019-20,24.0,62,62.0,2017,894,80,235.0,Forward
Aaron Gordon,2020-21,25.0,25,25.0,736,364,80,235.0,Forward
Aaron Gordon,2020-21,25.0,25,25.0,648,254,80,235.0,Forward
Aaron Gordon,2020-21,25.0,50,50.0,1384,618,80,235.0,Forward
Aaron Gordon,2021-22,26.0,75,75.0,2375,1126,80,235.0,Forward
Aaron Gordon,2022-23,27.0,68,68.0,2055,1109,80,235.0,Forward
Aaron Gordon,2023-24,28.0,73,73.0,2297,1013,80,235.0,Forward
Aaron Gordon,2024-25,29.0,51,42.0,1447,748,80,235.0,Forward
Aaron Gordon,2025-26,30.0,12,12.0,365,243,80,235.0,Forward
Aaron Gray,2007-08,23.0,61,1.0,613,262,84,270.0,Center
Aaron Gray,2008-09,24.0,56,18.0,715,196,84,270.0,Center
Aaron Gray,2009-10,25.0,8,0.0,50,18,84,270.0,Center
Aaron Gray,2009-10,25.0,24,0.0,261,86,84,270.0,Center
Aaron Gray,2009-10,25.0,32,0.0,311,104,84,270.0,Center
Aaron Gray,2010-11,26.0,41,6.0,531,129,84,270.0,Center
Aaron Gray,2011-12,27.0,49,40.0,813,191,84,270.0,Center
Aaron Gray,2012-13,28.0,42,16.0,513,119,84,270.0,Center
Aaron Gray,2013-14,29.0,4,0.0,20,5,84,270.0,Center
Aaron Gray,2013-14,29.0,33,6.0,335,60,84,270.0,Center
Aaron Gray,2013-14,29.0,37,6.0,354,65,84,270.0,Center
Aaron Harrison,2015-16,21.0,21,0.0,93,18,78,210.0,Guard
Aaron Harrison,2016-17,22.0,5,0.0,17,1,78,210.0,Guard
Aaron Harrison,2017-18,23.0,9,3.0,233,60,78,210.0,Guard
Aaron Holiday,2018-19,22.0,50,0.0,646,294,72,185.0,Guard
Aaron Holiday,2019-20,23.0,66,33.0,1617,627,72,185.0,Guard
Aaron Holiday,2020-21,24.0,66,8.0,1176,475,72,185.0,Guard
Aaron Holiday,2021-22,25.0,41,14.0,663,251,72,185.0,Guard
Aaron Holiday,2021-22,25.0,22,1.0,358,149,72,185.0,Guard
Aaron Holiday,2021-22,25.0,63,15.0,1021,400,72,185.0,Guard
Aaron Holiday,2022-23,26.0,63,6.0,845,247,72,185.0,Guard
Aaron Holiday,2023-24,27.0,78,1.0,1269,514,72,185.0,Guard
Aaron Holiday,2024-25,28.0,62,3.0,792,340,72,185.0,Guard
Aaron Holiday,2025-26,29.0,7,0.0,58,33,72,185.0,Guard
Aaron McKie,1994-95,22.0,45,20.0,827,293,77,209.0,Guard
Aaron McKie,1995-96,23.0,81,73.0,2259,864,77,209.0,Guard
Aaron McKie,1996-97,24.0,41,8.0,774,170,77,209.0,Guard
Aaron McKie,1996-97,24.0,42,3.0,850,263,77,209.0,Guard
Aaron McKie,1996-97,24.0,83,11.0,1624,433,77,209.0,Guard
Aaron McKie,1997-98,25.0,24,1.0,472,109,77,209.0,Guard
Aaron McKie,1997-98,25.0,57,31.0,1341,223,77,209.0,Guard
Aaron McKie,1997-98,25.0,81,32.0,1813,332,77,209.0,Guard
